Time,NE11/Zone4,Time,NE11/Zone3,Time,NE11/Zone1,Time,NE11/Zone2,Time,NE22/Zone4,Time,NE22/Zone3,Time,NE22/Zone1,Time,NE22/Zone2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.010001271,0.000940444,0.010001271,-0.000137226,0.010001271,-0.003301424,0.010001271,-0.001417994,0.010001271,0.001756068,0.010001271,0.000944896,0.010001271,-0.002907807,0.010001271,-0.000375457
0.020002706,0.002307148,0.020002706,-0.002444656,0.020002706,-0.010726994,0.020002706,-0.004366215,0.020002706,0.012017039,0.020002706,0.00999506,0.020002706,0.002482296,0.020002706,0.012381742
0.030000903,0.001714373,0.030000903,-0.005293104,0.030000903,-0.017574633,0.030000903,-0.007526329,0.030000903,0.029685915,0.030000903,0.029381743,0.030000903,0.016454209,0.030000903,0.041664075
0.040001731,-0.000958309,0.040001731,-0.008065366,0.040001731,-0.005989512,0.040001731,-0.012005114,0.040001731,0.052263714,0.040001731,0.058622207,0.040001731,0.067533195,0.040001731,0.086997181
0.050000265,-0.004733298,0.050000265,-0.012438403,0.050000265,0.016946238,0.050000265,-0.017226294,0.050000265,0.079863682,0.050000265,0.095476396,0.050000265,0.143660888,0.050000265,0.147744507
0.060000315,-0.006429685,0.060000315,-0.019166339,0.060000315,0.064922541,0.060000315,-0.021916339,0.060000315,0.11469423,0.060000315,0.139766812,0.060000315,0.246201769,0.060000315,0.223347768
0.070000648,-0.005297225,0.070000648,-0.02565597,0.070000648,0.114743121,0.070000648,-0.028991474,0.070000648,0.151274279,0.070000648,0.185218051,0.070000648,0.412334144,0.070000648,0.311511934
0.080001436,-0.00270342,0.080001436,-0.031164056,0.080001436,0.1657601,0.080001436,-0.034147277,0.080001436,0.186896369,0.080001436,0.22918953,0.080001436,0.640150845,0.080001436,0.400155246
0.090000719,-0.000203824,0.090000719,-0.034532726,0.090000719,0.234770104,0.090000719,-0.036635891,0.090000719,0.217985302,0.090000719,0.272267401,0.090000719,0.89915216,0.090000719,0.49081865
0.100000694,0.003275518,0.100000694,-0.038746525,0.100000694,0.295950532,0.100000694,-0.033421528,0.100000694,0.245623484,0.100000694,0.311636418,0.100000694,1.212845325,0.100000694,0.576706827
0.110000774,0.014047384,0.110000774,-0.018353121,0.110000774,0.304369152,0.110000774,0.003578106,0.110000774,0.256876647,0.110000774,0.305138767,0.110000774,1.211630821,0.110000774,0.54262203
0.1200011,0.031196307,0.1200011,0.017415186,0.1200011,0.325260401,0.1200011,0.08385092,0.1200011,0.274517953,0.1200011,0.313595682,0.1200011,1.174823403,0.1200011,0.498850316
0.130000219,0.041262005,0.130000219,0.058806412,0.130000219,0.395546705,0.130000219,0.209934965,0.130000219,0.284005404,0.130000219,0.34128508,0.130000219,1.09378016,0.130000219,0.464414299
0.140001118,0.04854532,0.140001118,0.09258686,0.140001118,0.565194726,0.140001118,0.37918207,0.140001118,0.299280524,0.140001118,0.394197673,0.140001118,0.986911237,0.140001118,0.468321979
0.150001451,0.052682701,0.150001451,0.107589759,0.150001451,0.796413839,0.150001451,0.544284225,0.150001451,0.304266155,0.150001451,0.463142216,0.150001451,0.99210012,0.150001451,0.534170389
0.160001233,0.054921709,0.160001233,0.110569231,0.160001233,1.000038028,0.160001233,0.64200598,0.160001233,0.305798411,0.160001233,0.478878021,0.160001233,1.163421392,0.160001233,0.656879425
0.170000821,0.056870695,0.170000821,0.111909918,0.170000821,1.077312946,0.170000821,0.660515189,0.170000821,0.307495475,0.170000821,0.479795367,0.170000821,1.279848337,0.170000821,0.744717419
0.180001989,0.058609001,0.180001989,0.111835063,0.180001989,1.096094728,0.180001989,0.65993768,0.180001989,0.309055388,0.180001989,0.48005119,0.180001989,1.314787745,0.180001989,0.768964231
0.190001085,0.060202401,0.190001085,0.11224626,0.190001085,1.095380068,0.190001085,0.660103738,0.190001085,0.309665501,0.190001085,0.479957283,0.190001085,1.320045471,0.190001085,0.769031584
0.200001165,0.061583076,0.200001165,0.112078071,0.200001165,1.092437267,0.200001165,0.660571396,0.200001165,0.310669899,0.200001165,0.479886442,0.200001165,1.314970851,0.200001165,0.767936826
0.210000858,0.062422432,0.210000858,0.111948878,0.210000858,1.092648983,0.210000858,0.66091758,0.210000858,0.311271042,0.210000858,0.479519218,0.210000858,1.304149866,0.210000858,0.766796172
0.220001012,0.06223743,0.220001012,0.111759812,0.220001012,1.090631723,0.220001012,0.66088903,0.220001012,0.311172187,0.220001012,0.479291826,0.220001012,1.302111626,0.220001012,0.766557217
0.230001196,0.061969347,0.230001196,0.111553237,0.230001196,1.088101506,0.230001196,0.660778284,0.230001196,0.310914785,0.230001196,0.479052216,0.230001196,1.304004192,0.230001196,0.766474068
0.240001395,0.061709944,0.240001395,0.111388676,0.240001395,1.088201642,0.240001395,0.660693586,0.240001395,0.310617179,0.240001395,0.478853345,0.240001395,1.304198265,0.240001395,0.766445756
0.25,0.061504032,0.25,0.111244686,0.25,1.08916688,0.25,0.66074115,0.25,0.310344487,0.25,0.478690833,0.25,1.302309513,0.25,0.766429245
