,,N=4,N=4,N=6,N=6
0,0.503988028,0,0.808610618,0,0.846534073
7.191185474,0.485929966,5.596155643,0.786742151,5.424019814,0.825167418
14.5063715,0.450869828,11.40326595,0.747937083,11.08093357,0.781171441
22.37687492,0.429072022,17.60128975,0.706038117,17.1899147,0.734256446
29.71462822,0.473685056,23.28249168,0.699763298,22.73715591,0.761537015
36.42088699,0.574294925,29.17939949,0.684367776,28.02414513,0.781892717
42.43066406,0.689487159,34.92217255,0.764814377,33.62133408,0.696988285
48.05467987,0.793764591,40.32340622,0.87660706,40.24716949,0.726274133
53.36808777,0.892737627,45.42144775,0.950639606,46.36001587,0.819320798
58.44648361,0.984398067,50.80225754,0.829867601,52.34646988,0.826503873
63.33239365,1.069944859,57.4131012,0.833404124,58.56492233,0.890106797
67.95797729,1.148743629,63.41754532,0.933902442,64.18681335,0.990359664
72.03000641,1.214656353,68.42842865,1.022375107,68.94264221,1.070132732
74.89137268,1.259101033,71.86771393,1.08004415,72.24121094,1.115662694
76.36417389,1.282979965,73.64567566,1.112335205,73.9670105,1.14264214
78.61607361,1.31895256,76.23527527,1.161470175,76.48249054,1.191127181
81.06251526,1.358360529,79.05753326,1.215690255,79.2301178,1.244985104
83.66738129,1.393836975,81.92398071,1.263947248,82.03164673,1.29243505
86.26246643,1.446391106,84.81536102,1.313929319,84.81497192,1.354133725
88.77783203,1.508847833,87.58866882,1.388478041,87.50341797,1.427279472
91.02437592,1.578662634,90.46552277,1.482278228,90.14125824,1.491890192
93.53033447,1.620419979,92.79447937,1.529276252,92.67751312,1.533448458
95.85670471,1.622657776,95.28160095,1.533310533,95.13915253,1.549529314
98.29763794,1.63665092,97.8889389,1.543504953,97.70552063,1.559284806
100.8024521,1.645525694,100.5401688,1.549550176,100.3538437,1.56325531
